_id,reviewText,PREDICTED_RESOURCES,CORRECT
57291609507c69054da8e684,Simple My LG P500 doesnt have a built in battery indicator. I used to use another battery indicator but it has too many features and slowing it down. This app is way better than other indicator.,1,1
572915d2507c69054da8e621,Great Displays your battery that's it no other added rubbish.,1,1
57894c8f819cb706b00a7ac4,Almost perfect if I add widget the time and battery percentage was gone only the chosen widget will appear. My phone is 4.2.2 Android version.,1,0
57894f89819cb706e92396b3,"Best Monitor App Yet Tells you what's running, what's connecting, and can show Linux processes, location of TCP4 servers and various other tweaks. Nice job.",1,0
572915e1507c69054da8e645,Awesome This is the best app ever it tells me exactly what I need. This is the best app to download to tell your battery information.,1,1
572910d8507c69054da8e198,"It's a SMMMAAAAAAASSSHHHH hit! Have I got a great show for you folks tonight! Ka-boom! Excellent options, nostalgic Earthbound enemies, authentic feeling Mode7 background, all around fun wallpaper. A perfect way to be greeted by old gaming memories when you have to call your dad to save your progress. Wholehearted recommendation.",1,0
572916a6507c69054da8e71c,"Works but issues Everything works as intended, except when you scroll the text becomes distorted and flashes oddly. Needs to be redone.",0,0
5729c0de507c690b8e0bd4a0,"Great! If you need a fast, small file explorer and don't really want to have anything to do with rooting, do go with this! (PS, it's good even with root, just that I've not tried it that way :p)",1,0
572915d0507c69054da8e61d,Simple and useful BatteryBot is the perfect tool for a quick look at your battery's remaining charge. It is unobtrusive and I really like the large indicator number in the notification area. Other apps have numbers so small you can't even read them. Thank you for a great tool.,1,1
57291467507c69054da8e57f,Keep freezing at the second boss It's OK but food management is a pain and doesn't really add anything and dungeons too small to give decent chances of OK kit by the boss levels. May try some of the variants :-),1,0
57291cdc507c69054da8edad,SMART PHONES ARN'T DESIGNED FOR DUMMIES. Are you slow or just dumb?,1,0
5729c108507c690b8e0bd4d3,"Better than es Now that es has gotten a little bloated and slow IMO, this app is great. Whether doing a simple file transfer, or browsing through your documents, this app is a must have.",1,1
5789404a819cb7066ab4040f,Cool Awesome thanks for good battery indicator with big icon on top which is easy to see,1,0
57290f62507c69054da8dfe7,"Impresive I think it should have a full 5 stars! It dosnt take up hardly any space it reads comics well, no noticable sluging allthough I think it may have a bug and if you have the right apps you can make your own comics and read them or shair them!",1,0
5729c085507c690b8e0bd43a,"Update: Music Player fixed! Used to work before update. Now the music player doesn't function. Other than that, perfect app! Update: Music player works! Super thrilled, now keep on improving! (Maybe allow me to fast forward in a song) thank you!!",1,0
57290d96507c69054da8de27,Scales down pages and makes them all pixellated,0,1
57290de3507c69054da8de8e,"Does the job Seems there are complaints around CBR, but those seem to miss the fact that the CBR format requires the entire file to be unpacked in memory. Switching to a more sensible format, e.g. CBZ, does the job fine. All in all it does what I need it to, with few or no issues.",1,0
57893e3a819cb7066ab4024c,This game has a lot of fun 3 mb Worst game on earth,1,1
57291755507c69054da8e7e1,Looks good. Developer replys fast. Worth a try.,1,
57894051819cb7066ab40418,"It's good so far It give me 5minuts on 1% battery I have not 3 with 10,000 mah battery and get more can make it do 15minuts on 1%battery that would be great but still great job am look for one that can give me 15minuts on 1% of battery that's what I looking for thanks _Ÿ˜__Ÿ˜__Ÿ˜__Ÿ˜_â˜ºâ˜ºâ˜ºâ˜º_Ÿ‘Œ_Ÿ‘Œ_Ÿ‘Œ_Ÿ‘Œ_Ÿ‘ŒI have note 4",1,1
57290f11507c69054da8dfb1,"Sad... Its the second time i download this app... my galaxy s2 and wont open i tap on logo pops menu only options are 'share, open, settings' if i go open just goes to my sdcard memory stuff..",1,1
57290f47507c69054da8dfde,Fail Does not read from sd card even after mounted. Reads from internal memory only. Droid x2,1,1
572915fa507c69054da8e671,Used to be great Now stuck at 99% and phones own indicator shows true value. Pain as rely on it and ended up with no battery yesterday...,1,1
5729161f507c69054da8e69f,GREAT APP. THIS APP SHOWS YOU THE BATTERY HEALTH OF YOUR PHONE. A STUNNING APP FOR MY PHONE.,1,0
5729c328507c690b8e0bd712,"Great tool? Which one? Please reply! But doesn't Android assistant show processes at least as well, and in fact with more info, like memory use? Dismissing it's other features, as they are irrelevant when comparing process monitoring - I'd like to know, what does OS Monitor have over, or do better than Android assistants process monitor? I'm making choice between the two.",1,1
