_id,reviewText,PREDICTED_DEVICE,CORRECT
5729c39e507c690b8e0bd7ee,Ø´Ø§Ø_Ù_ Ø¨Ø©Ø±Ù†Ø§Ù…Ø©Ù_Ø© (0_0),0,0
5729c1c6507c690b8e0bd59b,"Floating Bubble Issues! I was using \\Copy Bubble\"\",  because I can access it without going to my Notifications. But it has an annoying issue. So I tried \"\"ClipStack\"\" and man is it sweet! However,  the Floating Notification disappears within seconds and thus becomes useless and without it,  I have no reason to switch and certainly no reason to Donate! From what I've read,  this is a problem with the latest update. So how about putting it back into working order guys? Plus,  you Cloud to go across devices would make it awesome!\"",1,0
5729188a507c69054da8e944,Trill 12 is always watching. Yall bett keep up this good work.,1,0
5729167a507c69054da8e70b,"Powerful and simple The matrix calculations, 2D function graphs and base change to binary and hexadecimal are a huge plus EDIT: The new version no longer supports matrix calculations",1,0
57291d8c507c69054da8ee22,A small request I'd love for the watch face to update even if the phone background isn't set to Muzei,1,0
57290de5507c69054da8de92,Now has pinch-to-zoom! Excellent app! Droid.,1,1
5729bea9507c690b8e0bd28b,"Absolutely hooked Smashing minimalistic design. One note: I would love to use it on my tablet as well, but it seems that it won't autorotate. Perhaps this is a local problem, but it would be nice to see that implemented. Nothing more I can wish for beyond that!",1,0
57894c42819cb706b00a7a70,"Moto's display lacks the looks when it comes to this This is a great little handy app, the only problem I'm facing is the wave to wake feature, it isn't working properly for me, hope this issue is looked into for the next few updates",0,1
5729bed9507c690b8e0bd2ce,"Pls fix a Bug Proximity sensor is not working properly. To wake it up, have to hold the proximity sensor for at least 5 sec. Phone model: Infocus",0,1
57291f84507c69054da8f01a,"Best best ever I am looking for so so long for app like this and finally :THANKS, THANK YOU VERY VERY VERY MUCH. PERFECT _Ÿ‘Œ 10. MY NOTE 4 IS LOOKING LIKE 1 MILLION DOLLAR. AGAIN THANK YOU.",1,1
5729bf72507c690b8e0bd36d,not working automatically after screen off we need to replacement lock screen like glance plus,1,0
572913fc507c69054da8e521,"Finally a legit game Finally i found a legit game,no adds,no in appa purchages, plus its an awesome rpg,simple,pick up and play,addictive,challenging.What else can you say.Defenatly gove it a shot",1,0
57894ba4819cb706b00a79c6,Good I'm using galaxy note4 in marshmallow version and when I'm pulling out the pen to write quick note the ACdislay crashes down..I think we need a new update ... thank you,1,1
5729c128507c690b8e0bd511,"Add cloud storage option I like this file manager over ES file explorer. Best file manager ever. But need some features like- cloud storage, encryption etc",0,1
57291360507c69054da8e47d,Awesome but challenging I love this game that's why I give this game a 5 star rating,0,1
5789464c819cb706b00a73f0,Not bad but not great I love that you can see the artists you have listened to and that you can view the artist information online. But my artists for 3 months is the same as my overall artists which isn't right and that's annoying. Did that I you'll get a higher rating,0,1
57291ecb507c69054da8ef9d,"Great, almost. Great selection, which is the only reason it stays installed. Full screen previews crash app pretty consistently, I'd say about 75% of the time. Running Android 6.0 on a Nexus 6.",1,1
57291bac507c69054da8ec29,"Puzzle Maniak Not sure, but is this a follow up to puzzle maniak? Anyway, really like it. But is there a way to make the error markings (mostly in red) optional so you could turn it on/off during a game?",0,1
57291cf2507c69054da8edc0,S6 Can't log in on the app for my phone or tablet for the past two weeks. No help from customer support. I guess the service is done?,1,1
572915db507c69054da8e636,"Neat Application This Battery Application is a informative app, displays most of what a person needs.",0,1
57291639507c69054da8e6b0,Doesnâ€™t work anymore No go for S6 or S7,1,1
